state,awarding_agency_name,n_contracts,total_agency_award_values,total_agency_award_per_capita,category
Texas,Department of Defense,17832,10088613314.309998,352.31,Defense & National Security
California,Department of Defense,34960,12424717221.220137,315.78,Defense & National Security
Texas,Department of Homeland Security,824,2809840735.499995,98.12,Defense & National Security
California,National Aeronautics and Space Administration,383,1800571567.1899996,45.76,"Science, Technology & Environment"
California,General Services Administration,22214,1299889066.2600045,33.04,Government Operations & Administration
Texas,Department of Veterans Affairs,766,798689767.3300006,27.89,Social Services & Public Health
California,Department of Veterans Affairs,1166,976265799.0999984,24.81,Social Services & Public Health
Texas,General Services Administration,9254,670540131.9600215,23.42,Government Operations & Administration
California,Department of Homeland Security,844,660215251.8299998,16.78,Defense & National Security
Texas,Department of Health and Human Services,77,437707790.46000016,15.29,Social Services & Public Health
California,Department of Energy,116,562391223.5100001,14.29,"Science, Technology & Environment"
Texas,National Aeronautics and Space Administration,80,405788315.31000006,14.17,"Science, Technology & Environment"
California,Department of Transportation,248,343242907.5500002,8.72,Infrastructure & Transportation
Texas,Department of Labor,46,245568495.20000002,8.58,"Agriculture, Commerce & Labor"
Texas,Department of Agriculture,287,239332405.04000008,8.36,"Agriculture, Commerce & Labor"
California,Department of Agriculture,926,328858682.56000006,8.36,"Agriculture, Commerce & Labor"
California,Department of Labor,36,323760586.66999996,8.23,"Agriculture, Commerce & Labor"
California,Department of Health and Human Services,524,286693970.4999996,7.29,Social Services & Public Health
California,Department of the Interior,615,267936579.7399999,6.81,"Agriculture, Commerce & Labor"
Texas,Department of Justice,724,184349851.3600001,6.44,"Justice, Law & Civil Rights"
Texas,Department of the Treasury,131,178446019.17,6.23,Economic & Financial Regulation
California,Department of Justice,549,206923924.42999992,5.26,"Justice, Law & Civil Rights"
California,Department of the Treasury,436,123918135.81999998,3.15,Economic & Financial Regulation
California,Environmental Protection Agency,80,122019542.62000002,3.1,"Science, Technology & Environment"
Texas,Department of the Interior,122,65869941.169999994,2.3,"Agriculture, Commerce & Labor"
California,Department of State,1550,77407008.12999997,1.97,Foreign Affairs & International Development
California,Department of Housing and Urban Development,13,69337271.93,1.76,Social Services & Public Health
Texas,Department of Transportation,73,49769410.94999999,1.74,Infrastructure & Transportation
Texas,Department of State,298,46341494.07999998,1.62,Foreign Affairs & International Development
Texas,Environmental Protection Agency,33,45984325.85000001,1.61,"Science, Technology & Environment"
Texas,Department of Housing and Urban Development,35,34351940.970000006,1.2,Social Services & Public Health
California,Department of Commerce,193,42217294.13000001,1.07,"Agriculture, Commerce & Labor"
Texas,Department of Energy,13,28045417.959999997,0.98,"Science, Technology & Environment"
California,National Archives and Records Administration,5,28926795.96,0.74,Government Operations & Administration
California,Social Security Administration,101,17597121.05000001,0.45,Social Services & Public Health
Texas,Department of Commerce,71,11280119.250000004,0.39,"Agriculture, Commerce & Labor"
California,Securities and Exchange Commission,11,12585631.3,0.32,Economic & Financial Regulation
Texas,Department of Education,7,6976582.82,0.24,"Education, Arts & Culture"
Texas,Securities and Exchange Commission,8,6809409.18,0.24,Economic & Financial Regulation
California,Department of Education,14,7214978.570000001,0.18,"Education, Arts & Culture"
Texas,Small Business Administration,13,4149994.8,0.14,Economic & Financial Regulation
Texas,Social Security Administration,73,4066411.9200000013,0.14,Social Services & Public Health
California,National Science Foundation,11,4862458.399999999,0.12,"Science, Technology & Environment"
California,Government Accountability Office,4,3739802.4,0.1,Government Operations & Administration
California,Small Business Administration,36,2527026.04,0.06,Economic & Financial Regulation
California,National Labor Relations Board,6,2246736.54,0.06,"Justice, Law & Civil Rights"
California,Nuclear Regulatory Commission,4,1827348.05,0.05,Defense & National Security
Texas,Nuclear Regulatory Commission,5,1158454.23,0.04,Defense & National Security
Texas,National Science Foundation,1,820892.45,0.03,"Science, Technology & Environment"
California,Consumer Financial Protection Bureau,2,835432.06,0.02,Economic & Financial Regulation
California,Millennium Challenge Corporation,1,714029.86,0.02,Foreign Affairs & International Development
California,Federal Communications Commission,4,608481.2899999999,0.02,Infrastructure & Transportation
Texas,Consumer Financial Protection Bureau,4,315290.93,0.01,Economic & Financial Regulation
Texas,Government Accountability Office,1,258099.87,0.01,Government Operations & Administration
Texas,United States Trade and Development Agency,1,233552.4,0.01,"Agriculture, Commerce & Labor"
Texas,Equal Employment Opportunity Commission,1,210845.22,0.01,"Justice, Law & Civil Rights"
California,Peace Corps,4,576301.35,0.01,Social Services & Public Health
California,United States Trade and Development Agency,3,525417.26,0.01,"Agriculture, Commerce & Labor"
California,Commodity Futures Trading Commission,3,377220.22,0.01,Economic & Financial Regulation
California,U.S. Agency for Global Media,6,328540.48,0.01,Foreign Affairs & International Development
California,Pension Benefit Guaranty Corporation,3,248337.02,0.01,Economic & Financial Regulation
Texas,Federal Trade Commission,1,99186.44,0,Economic & Financial Regulation
Texas,U.S. Agency for Global Media,2,53691.6,0,Foreign Affairs & International Development
Texas,Pension Benefit Guaranty Corporation,1,36379.39,0,Economic & Financial Regulation
Texas,National Labor Relations Board,2,7029.6,0,"Justice, Law & Civil Rights"
Texas,Office of Personnel Management,1,0,0,Government Operations & Administration
California,Office of Personnel Management,1,185101.49,0,Government Operations & Administration
California,Merit Systems Protection Board,1,165933.51,0,"Justice, Law & Civil Rights"
California,Agency for International Development,3,164869.97,0,Foreign Affairs & International Development
California,Export-Import Bank of the United States,1,80234.4,0,Economic & Financial Regulation
California,Federal Mediation and Conciliation Service,2,48105.22,0,"Justice, Law & Civil Rights"
California,Smithsonian Institution,4,28496.58,0,"Education, Arts & Culture"
California,Railroad Retirement Board,1,26122.24,0,Infrastructure & Transportation
California,National Transportation Safety Board,1,17978.81,0,Infrastructure & Transportation
California,Corporation for National and Community Service,1,17743.68,0,Social Services & Public Health
